"Судебный эксперт (эксперт-биохимик, эксперт-генетик, эксперт-химик)",Организация и содержание деятельности судебного эксперта в современной медицине,36,2900,07.09.2022,https://shrinkingurl/337Sv5
"Судебный эксперт (эксперт-биохимик, эксперт-генетик, эксперт-химик)",Судебная экспертиза: актуальные вопросы и инновационные решения,74,6400,07.09.2022,https://shrinkingurl/337SvL
"Судебный эксперт (эксперт-биохимик, эксперт-генетик, эксперт-химик)",Судебная  экспертиза,144,9800,07.09.2022,https://shrinkingurl/337Svn
Инструктор-методист по лечебной физкультуре,Организация и содержание деятельности инструктора-методиста по лечебной физкультуре в современной медицине,36,2900,07.09.2022,https://shrinkingurl/337Swg
Инструктор-методист по лечебной физкультуре,Инструктор-методист по лечебной физкультуре: актуальные вопросы и инновационные решения,74,6400,07.09.2022,https://shrinkingurl/337Swv
Инструктор-методист по лечебной физкультуре,Инструктор-методист по лечебной физкультуре,144,9800,07.09.2022,https://shrinkingurl/337SxL
Медицинский физик,Организация и содержание деятельности медицинского физика в современной медицине,36,2900,07.09.2022,https://shrinkingurl/337SzA
Медицинский физик,Медицинский физик: актуальные вопросы и инновационные решения,74,6400,07.09.2022,https://shrinkingurl/337SzL
Медицинский физик,Медицинский физик,144,9800,07.09.2022,https://shrinkingurl/337SyM
Эмбриолог,Организация и содержание деятельности эмбриолога в современной медицине,36,2900,07.09.2022,https://shrinkingurl/337T2Y
Эмбриолог,Эмбриолог: актуальные вопросы и инновационные решения,74,6400,07.09.2022,https://shrinkingurl/337T2R
Эмбриолог,Эмбриолог,144,9800,07.09.2022,https://shrinkingurl/337Szw
Биолог,Организация и содержание деятельности биолога в современной медицине,36,2900,07.09.2022,https://shrinkingurl/337T3x
Биолог,Биолог: актуальные вопросы и инновационные решения,74,6400,07.09.2022,https://shrinkingurl/337T3X
Биолог,Биолог,144,9800,07.09.2022,https://shrinkingurl/337T3M
,,,,,
